"FECHA","COVID_LLAMADOS","CASOS_SOSPECHOSOS","CASOS_DESCARTADOS_COVID","CASOS_TRASLADADOS","CASOS_DERIVADOS"
"12/3/2020 0:00","176","4","172","0","0"
"12/4/2020 0:00","155","6","149","0","3"
"12/5/2020 0:00","123","18","105","0","4"
"12/6/2020 0:00","84","14","70","0","1"
"12/7/2020 0:00","92","1","91","0","0"
"12/8/2020 0:00","122","22","100","0","4"
"12/9/2020 0:00","275","14","261","0","5"
"12/10/2020 0:00","192","9","183","1","5"
"12/11/2020 0:00","220","15","205","0","8"
"12/12/2020 0:00","143","14","129","0","2"
"12/13/2020 0:00","105","6","99","0","1"
"12/14/2020 0:00","285","10","275","0","3"
"12/15/2020 0:00","286","16","270","1","5"
"12/16/2020 0:00","325","10","315","0","3"
"12/17/2020 0:00","306","5","301","0","1"
"12/18/2020 0:00","356","7","349","0","2"
"12/19/2020 0:00","168","19","149","0","0"
"12/20/2020 0:00","198","17","181","0","1"
"12/21/2020 0:00","370","10","360","0","3"
"12/22/2020 0:00","411","9","402","1","3"
"12/23/2020 0:00","441","8","433","0","1"
"12/24/2020 0:00","224","22","202","0","2"
"12/25/2020 0:00","222","19","203","0","0"
"12/26/2020 0:00","196","27","169","0","1"
"12/27/2020 0:00","360","4","356","0","1"
"12/28/2020 0:00","632","14","618","1","2"
"12/29/2020 0:00","602","12","590","0","5"
"12/30/2020 0:00","585","14","571","0","3"
"12/31/2020 0:00","275","4","271","0","2"
"1/1/2021 0:00","255","19","236","0","2"
"1/2/2021 0:00","294","21","273","0","0"
"1/3/2021 0:00","281","23","258","0","2"
"1/4/2021 0:00","754","24","730","0","5"
"1/5/2021 0:00","634","18","616","0","4"
"1/6/2021 0:00","754","19","735","1","6"
"1/7/2021 0:00","721","11","710","0","7"
"1/8/2021 0:00","624","14","610","0","3"
"1/9/2021 0:00","310","28","282","0","5"
"1/10/2021 0:00","270","27","243","0","2"
"1/11/2021 0:00","705","11","694","0","2"
"1/12/2021 0:00","553","13","540","0","5"
"1/13/2021 0:00","661","19","642","0","6"
"1/14/2021 0:00","549","12","537","0","1"
"1/15/2021 0:00","630","11","619","0","1"
"1/16/2021 0:00","305","33","272","0","4"
"1/17/2021 0:00","247","24","223","0","2"
"1/18/2021 0:00","558","8","550","0","4"
"1/19/2021 0:00","554","22","532","0","8"
"1/20/2021 0:00","463","11","452","0","3"
"1/21/2021 0:00","486","7","479","0","3"
"1/22/2021 0:00","490","16","474","0","6"
"1/23/2021 0:00","230","19","211","0","1"
"1/24/2021 0:00","166","13","153","0","0"
"1/25/2021 0:00","590","17","573","1","8"
"1/26/2021 0:00","518","15","503","0","7"
"1/27/2021 0:00","548","11","537","0","5"
"1/28/2021 0:00","506","20","486","0","8"
"1/29/2021 0:00","502","13","489","0","3"
"1/30/2021 0:00","271","23","248","0","1"
"1/31/2021 0:00","323","21","302","0","2"
"2/1/2021 0:00","501","18","483","0","4"
"2/2/2021 0:00","407","11","396","0","3"
"2/3/2021 0:00","430","11","419","0","3"
"2/4/2021 0:00","374","13","361","0","3"
"2/5/2021 0:00","343","8","335","0","4"
"2/6/2021 0:00","132","12","120","0","0"
"2/7/2021 0:00","172","17","155","0","3"
"2/8/2021 0:00","495","15","480","0","5"
"2/9/2021 0:00","398","10","388","0","3"
"2/10/2021 0:00","408","6","402","0","3"
"2/11/2021 0:00","379","8","371","0","2"
"2/12/2021 0:00","346","4","342","0","1"
"2/13/2021 0:00","253","24","229","0","5"
"2/14/2021 0:00","125","15","110","0","6"
"2/15/2021 0:00","226","13","213","0","0"
"2/16/2021 0:00","223","5","218","0","2"
"2/17/2021 0:00","524","13","511","0","3"
"2/18/2021 0:00","413","5","408","0","2"
"2/19/2021 0:00","670","8","662","0","2"
"2/20/2021 0:00","216","10","206","0","0"
"2/21/2021 0:00","139","9","130","0","1"
"2/22/2021 0:00","571","9","562","0","3"
"2/23/2021 0:00","444","12","432","0","2"
"2/24/2021 0:00","461","7","454","0","2"
"2/25/2021 0:00","443","16","427","0","6"
"2/26/2021 0:00","416","12","404","0","2"
"2/27/2021 0:00","181","21","160","0","2"
"2/28/2021 0:00","195","24","171","0","3"
"3/1/2021 0:00","428","7","421","0","3"
"3/2/2021 0:00","322","3","319","0","1"
"3/3/2021 0:00","360","13","347","0","5"
"3/4/2021 0:00","409","12","397","0","2"
"3/5/2021 0:00","377","10","367","0","5"
"3/6/2021 0:00","150","18","132","0","3"
"3/7/2021 0:00","137","10","127","0","0"
"3/8/2021 0:00","399","4","395","0","2"
"3/9/2021 0:00","348","9","339","0","1"
"3/10/2021 0:00","438","15","423","0","3"
"3/11/2021 0:00","386","9","377","0","3"
"3/12/2021 0:00","419","18","401","0","6"
"3/13/2021 0:00","327","17","310","0","1"
"3/14/2021 0:00","334","22","312","0","2"
"3/15/2021 0:00","547","4","543","0","2"
"3/16/2021 0:00","459","5","454","0","0"
"3/17/2021 0:00","383","4","379","0","1"
"3/18/2021 0:00","467","8","459","0","1"
"3/19/2021 0:00","457","17","440","0","3"
"3/20/2021 0:00","231","10","221","0","1"
"3/21/2021 0:00","273","14","259","0","1"
"3/22/2021 0:00","489","8","481","0","2"
"3/23/2021 0:00","572","13","559","0","2"
"3/24/2021 0:00","488","22","466","0","3"
"3/25/2021 0:00","555","9","546","0","3"
"3/26/2021 0:00","512","17","495","0","5"
"3/27/2021 0:00","565","18","547","0","1"
"3/28/2021 0:00","507","21","486","0","1"
"3/29/2021 0:00","784","11","773","0","3"
"3/30/2021 0:00","837","12","825","0","3"
"3/31/2021 0:00","781","25","756","0","5"
"4/1/2021 0:00","325","2","323","0","0"
"4/2/2021 0:00","555","25","530","0","4"
"4/3/2021 0:00","373","24","349","0","2"
"4/4/2021 0:00","608","29","579","0","2"
"4/5/2021 0:00","1062","23","1039","0","6"
"4/6/2021 0:00","1098","28","1070","0","9"
"4/7/2021 0:00","1217","35","1182","0","10"
"4/8/2021 0:00","1123","22","1101","0","7"
"4/9/2021 0:00","1023","31","992","0","7"
"4/10/2021 0:00","709","40","669","0","4"
"4/11/2021 0:00","710","13","697","0","2"
"4/12/2021 0:00","1188","36","1152","0","9"
"4/13/2021 0:00","1138","36","1102","0","4"
"4/14/2021 0:00","1010","34","976","0","8"
"4/15/2021 0:00","949","37","912","0","8"
"4/16/2021 0:00","958","37","921","0","6"
"4/17/2021 0:00","551","31","520","0","5"
"4/18/2021 0:00","518","31","487","0","5"
"4/19/2021 0:00","1239","32","1207","0","8"
"4/20/2021 0:00","1080","35","1045","0","5"
"4/21/2021 0:00","1021","14","1007","0","7"
"4/22/2021 0:00","1022","0","1022","0","4"
"4/23/2021 0:00","959","1","958","0","2"
"4/24/2021 0:00","596","1","595","0","0"
"4/25/2021 0:00","375","5","370","0","0"
"4/26/2021 0:00","783","13","770","0","2"
"3/17/2020 0:00","4426","1461","2965","1461","67"
"3/18/2020 0:00","2239","166","2073","4","3"
"3/19/2020 0:00","2347","204","2143","15","22"
"3/20/2020 0:00","2404","167","2237","24","27"
"3/21/2020 0:00","1303","163","1140","22","26"
"3/22/2020 0:00","1429","135","1294","25","24"
"3/23/2020 0:00","1489","159","1330","26","31"
"3/24/2020 0:00","1366","179","1187","27","35"
"3/25/2020 0:00","1738","191","1547","17","25"
"3/26/2020 0:00","1682","194","1488","26","35"
"3/27/2020 0:00","1680","227","1453","24","48"
"3/28/2020 0:00","1207","180","1027","17","17"
"3/29/2020 0:00","875","153","722","16","14"
"3/30/2020 0:00","1127","198","929","28","26"
"3/31/2020 0:00","848","296","552","39","26"
"4/1/2020 0:00","1011","263","748","67","26"
"4/2/2020 0:00","877","119","758","10","18"
"4/3/2020 0:00","691","109","582","1","22"
"4/4/2020 0:00","729","272","457","18","25"
"4/5/2020 0:00","582","200","382","7","5"
"4/6/2020 0:00","733","124","609","9","14"
"4/7/2020 0:00","647","123","524","4","8"
"4/8/2020 0:00","611","123","488","6","12"
"4/9/2020 0:00","573","103","470","9","8"
"4/10/2020 0:00","517","183","334","5","12"
"4/11/2020 0:00","428","143","285","2","7"
"4/12/2020 0:00","424","157","267","0","7"
"4/13/2020 0:00","499","124","375","6","10"
"4/14/2020 0:00","393","84","309","2","4"
"4/15/2020 0:00","360","95","265","4","11"
"4/16/2020 0:00","450","152","298","3","6"
"4/17/2020 0:00","521","185","336","4","17"
"4/18/2020 0:00","430","236","194","1","11"
"4/19/2020 0:00","318","181","137","8","16"
"4/20/2020 0:00","388","24","364","0","11"
"4/21/2020 0:00","418","128","290","0","12"
"4/22/2020 0:00","380","57","323","6","22"
"4/23/2020 0:00","339","52","287","4","16"
"4/24/2020 0:00","450","178","272","1","12"
"4/25/2020 0:00","199","37","162","1","16"
"4/26/2020 0:00","163","24","139","3","11"
"4/27/2020 0:00","333","76","257","2","20"
"4/28/2020 0:00","238","37","201","0","5"
"4/29/2020 0:00","331","113","218","0","12"
"4/30/2020 0:00","356","163","193","0","11"
"5/1/2020 0:00","145","28","117","0","9"
"5/2/2020 0:00","75","14","61","0","8"
"5/3/2020 0:00","91","12","79","0","5"
"5/4/2020 0:00","201","24","177","1","11"
"5/5/2020 0:00","325","168","157","1","10"
"5/6/2020 0:00","157","21","136","2","17"
"5/7/2020 0:00","207","48","159","0","18"
"5/8/2020 0:00","195","31","164","1","18"
"5/9/2020 0:00","259","182","77","4","13"
"5/10/2020 0:00","156","73","83","1","4"
"5/11/2020 0:00","267","25","242","5","11"
"5/12/2020 0:00","254","26","228","1","17"
"5/13/2020 0:00","240","18","222","0","9"
"5/14/2020 0:00","359","154","205","2","12"
"5/15/2020 0:00","242","21","221","1","6"
"5/16/2020 0:00","197","114","83","4","9"
"5/17/2020 0:00","100","34","66","1","12"
"5/18/2020 0:00","418","119","299","3","23"
"5/19/2020 0:00","337","33","304","0","19"
"5/20/2020 0:00","357","69","288","1","19"
"5/21/2020 0:00","506","136","370","2","15"
"5/22/2020 0:00","523","31","492","2","17"
"5/23/2020 0:00","221","65","156","1","9"
"5/24/2020 0:00","410","221","189","9","15"
"5/25/2020 0:00","367","186","181","8","10"
"5/26/2020 0:00","399","38","361","4","26"
"5/27/2020 0:00","481","71","410","3","21"
"5/28/2020 0:00","611","239","372","1","19"
"5/29/2020 0:00","465","98","367","0","14"
"5/30/2020 0:00","194","32","162","4","11"
"5/31/2020 0:00","280","157","123","7","8"
"6/1/2020 0:00","395","23","372","4","18"
"6/2/2020 0:00","436","24","412","6","12"
"6/3/2020 0:00","417","33","384","3","15"
"6/4/2020 0:00","418","27","391","2","12"
"6/5/2020 0:00","411","34","377","3","14"
"6/6/2020 0:00","280","58","222","2","20"
"6/7/2020 0:00","451","247","204","15","19"
"6/8/2020 0:00","517","52","465","2","23"
"6/9/2020 0:00","545","129","416","5","16"
"6/10/2020 0:00","659","136","523","2","23"
"6/11/2020 0:00","510","92","418","4","17"
"6/12/2020 0:00","716","189","527","1","20"
"6/13/2020 0:00","238","61","177","1","15"
"6/14/2020 0:00","257","39","218","1","8"
"6/15/2020 0:00","292","78","214","4","10"
"6/16/2020 0:00","38","6","32","0","5"
"6/17/2020 0:00","708","49","659","4","29"
"6/18/2020 0:00","54","3","51","0","4"
"6/23/2020 0:00","775","70","705","5","27"
"6/24/2020 0:00","754","70","684","5","22"
"6/25/2020 0:00","723","84","639","1","24"
"6/26/2020 0:00","680","92","588","3","23"
"6/27/2020 0:00","492","185","307","2","11"
"6/28/2020 0:00","284","60","224","4","15"
"6/29/2020 0:00","702","87","615","1","20"
"6/30/2020 0:00","620","45","575","2","19"
"7/1/2020 0:00","670","129","541","2","24"
"7/2/2020 0:00","611","58","553","1","29"
"7/3/2020 0:00","510","27","483","0","11"
"7/4/2020 0:00","367","47","320","5","14"
"7/5/2020 0:00","345","52","293","1","20"
"7/6/2020 0:00","711","146","565","1","20"
"7/7/2020 0:00","512","92","420","1","12"
"7/8/2020 0:00","547","36","511","5","19"
"7/9/2020 0:00","304","41","263","1","6"
"7/10/2020 0:00","219","22","197","1","7"
"7/11/2020 0:00","372","126","246","1","5"
"7/12/2020 0:00","259","21","238","1","4"
"7/13/2020 0:00","677","42","635","0","20"
"7/14/2020 0:00","552","115","437","2","15"
"7/15/2020 0:00","133","58","75","1","14"
"7/16/2020 0:00","151","79","72","1","19"
"7/17/2020 0:00","151","34","117","4","10"
"7/18/2020 0:00","42","41","1","1","12"
"7/19/2020 0:00","52","35","17","5","10"
"7/20/2020 0:00","100","59","41","3","15"
"7/21/2020 0:00","65","65","0","3","12"
"7/22/2020 0:00","127","126","1","2","14"
"7/23/2020 0:00","30","29","1","1","11"
"7/24/2020 0:00","112","112","0","2","7"
"7/25/2020 0:00","22","21","1","0","2"
"7/26/2020 0:00","16","16","0","0","2"
"7/27/2020 0:00","96","96","0","3","8"
"7/28/2020 0:00","35","35","0","0","9"
"7/29/2020 0:00","29","28","1","1","17"
"7/30/2020 0:00","390","29","361","1","9"
"7/31/2020 0:00","582","98","484","1","8"
"8/1/2020 0:00","343","61","282","0","9"
"8/2/2020 0:00","381","24","357","1","6"
"8/3/2020 0:00","787","39","748","1","12"
"8/4/2020 0:00","764","41","723","4","17"
"8/5/2020 0:00","735","33","702","0","19"
"8/6/2020 0:00","652","30","622","2","12"
"8/7/2020 0:00","629","28","601","2","8"
"8/8/2020 0:00","292","17","275","0","3"
"8/9/2020 0:00","331","23","308","0","3"
"8/10/2020 0:00","816","42","774","2","15"
"8/11/2020 0:00","744","128","616","5","7"
"8/12/2020 0:00","726","70","656","1","11"
"8/13/2020 0:00","721","34","687","0","12"
"8/14/2020 0:00","690","29","661","3","10"
"8/15/2020 0:00","340","35","305","0","3"
"8/16/2020 0:00","351","29","322","0","6"
"8/17/2020 0:00","370","28","342","0","5"
"8/18/2020 0:00","677","29","648","2","8"
"8/19/2020 0:00","610","30","580","1","10"
"8/20/2020 0:00","712","39","673","1","10"
"8/21/2020 0:00","648","33","615","3","15"
"8/22/2020 0:00","373","60","313","1","6"
"8/23/2020 0:00","362","27","335","0","5"
"8/24/2020 0:00","846","96","750","1","8"
"8/25/2020 0:00","673","39","634","3","16"
"8/26/2020 0:00","717","41","676","1","14"
"8/27/2020 0:00","654","35","619","4","16"
"8/28/2020 0:00","689","35","654","3","5"
"8/29/2020 0:00","399","28","371","1","7"
"8/30/2020 0:00","410","45","365","0","5"
"8/31/2020 0:00","714","27","687","3","9"
"9/1/2020 0:00","578","35","543","3","11"
"9/2/2020 0:00","627","36","591","1","9"
"9/3/2020 0:00","642","31","611","2","8"
"9/4/2020 0:00","613","40","573","3","16"
"9/5/2020 0:00","270","23","247","0","6"
"9/6/2020 0:00","213","13","200","0","2"
"9/7/2020 0:00","781","37","744","3","11"
"9/8/2020 0:00","711","37","674","2","12"
"9/9/2020 0:00","623","27","596","1","13"
"9/10/2020 0:00","520","19","501","1","6"
"9/11/2020 0:00","502","23","479","1","2"
"9/12/2020 0:00","300","27","273","0","8"
"9/13/2020 0:00","334","34","300","0","9"
"9/14/2020 0:00","540","24","516","0","8"
"9/15/2020 0:00","516","21","495","1","7"
"9/16/2020 0:00","477","32","445","5","8"
"9/17/2020 0:00","480","28","452","1","11"
"9/18/2020 0:00","490","21","469","3","7"
"9/19/2020 0:00","193","21","172","0","5"
"9/20/2020 0:00","189","18","171","0","1"
"9/21/2020 0:00","454","24","430","1","7"
"9/22/2020 0:00","479","34","445","2","12"
"9/23/2020 0:00","486","37","449","3","13"
"9/24/2020 0:00","424","20","404","2","5"
"9/25/2020 0:00","459","23","436","3","10"
"9/26/2020 0:00","246","30","216","0","4"
"9/27/2020 0:00","298","157","141","0","6"
"9/28/2020 0:00","455","31","424","3","8"
"9/29/2020 0:00","442","46","396","2","5"
"9/30/2020 0:00","432","20","412","0","11"
"10/1/2020 0:00","453","62","391","0","5"
"10/2/2020 0:00","366","23","343","1","8"
"10/3/2020 0:00","194","38","156","0","2"
"10/4/2020 0:00","241","70","171","0","4"
"10/5/2020 0:00","431","23","408","0","11"
"10/6/2020 0:00","395","14","381","2","4"
"10/7/2020 0:00","383","22","361","1","8"
"10/8/2020 0:00","399","20","379","2","5"
"10/9/2020 0:00","401","22","379","0","5"
"10/10/2020 0:00","196","23","173","0","3"
"10/11/2020 0:00","205","18","187","0","0"
"10/12/2020 0:00","210","32","178","0","2"
"10/13/2020 0:00","400","15","385","2","3"
"10/14/2020 0:00","401","20","381","0","6"
"10/15/2020 0:00","400","20","380","1","6"
"10/16/2020 0:00","393","27","366","0","7"
"10/17/2020 0:00","167","9","158","0","2"
"10/18/2020 0:00","118","19","99","0","2"
"10/19/2020 0:00","382","20","362","0","3"
"10/20/2020 0:00","320","13","307","1","4"
"10/21/2020 0:00","320","17","303","1","7"
"10/22/2020 0:00","297","22","275","0","10"
"10/23/2020 0:00","316","20","296","1","6"
"10/24/2020 0:00","201","18","183","0","3"
"10/25/2020 0:00","167","12","155","0","1"
"10/26/2020 0:00","293","15","278","2","3"
"10/27/2020 0:00","289","13","276","2","3"
"10/28/2020 0:00","276","16","260","2","8"
"10/29/2020 0:00","242","4","238","1","2"
"10/30/2020 0:00","268","6","262","0","3"
"10/31/2020 0:00","100","10","90","0","5"
"11/1/2020 0:00","81","10","71","0","0"
"11/2/2020 0:00","295","11","284","1","3"
"11/3/2020 0:00","249","14","235","2","3"
"11/4/2020 0:00","226","10","216","0","5"
"11/5/2020 0:00","234","7","227","0","3"
"11/6/2020 0:00","218","11","207","1","2"
"11/7/2020 0:00","119","12","107","0","0"
"11/8/2020 0:00","112","20","92","0","0"
"11/9/2020 0:00","292","13","279","2","5"
"11/10/2020 0:00","244","8","236","0","3"
"11/11/2020 0:00","223","5","218","0","2"
"11/12/2020 0:00","225","10","215","1","4"
"11/13/2020 0:00","238","12","226","0","3"
"11/14/2020 0:00","117","11","106","0","1"
"11/15/2020 0:00","96","5","91","0","0"
"11/16/2020 0:00","332","13","319","1","6"
"11/17/2020 0:00","270","13","257","1","4"
"11/18/2020 0:00","260","15","245","1","6"
"11/19/2020 0:00","282","8","274","0","3"
"11/20/2020 0:00","235","6","229","0","2"
"11/21/2020 0:00","110","12","98","0","2"
"11/22/2020 0:00","102","12","90","0","1"
"11/23/2020 0:00","143","18","125","0","1"
"11/24/2020 0:00","250","6","244","0","3"
"11/25/2020 0:00","228","11","217","2","1"
"11/26/2020 0:00","174","8","166","0","3"
"11/27/2020 0:00","191","23","168","0","4"
"11/28/2020 0:00","97","6","91","0","1"
"11/29/2020 0:00","81","15","66","0","1"
"11/30/2020 0:00","187","11","176","0","2"
"12/1/2020 0:00","213","11","202","0","2"
"12/2/2020 0:00","168","11","157","0","6"
